list_id,nombre,fecha,tipo,paga,categoria,suscriptores
93,Miembros Circle México,2026-07-16,,no,ignorar,63
92,Miembros Circle Perú,2026-07-16,,no,ignorar,82
91,Miembros Circle Colombia,2026-07-16,,no,ignorar,27
90,Miembros Circle Chile,2026-07-16,,no,ignorar,76
89,Certificado Ciclo Formativo,2026-07-15,certificado,no,academica,362
88,Prospectos Pre Sales IPADE,2026-07-13,,no,ignorar,2368
87,Miembros Circle que no estaban,2026-07-09,,no,ignorar,248
86,Certificados Ciclo Formativo TEC Monterrey,2026-07-08,certificado,no,academica,361
85,Masterclass IPADE Clientes,2026-07-08,,no,ignorar,24
83,Prospectos y no clientes BPs altos actualizada Programa de liderazgo,2026-07-01,,no,ignorar,2984
82,Clientes BP altos actualizado para Programa de Liderazgo,2026-07-01,,no,ignorar,225
81,Inscritos Tally IPADE,2026-06-25,registro,si,academica,72
80,Inscritos IPADE 24/06,2026-06-17,registro,si,academica,289
79,Clientes Wherex BP altos,2026-06-08,,no,ignorar,219
78,Clientes Wherex Decision Maker BP altos,2026-06-08,,no,ignorar,132
77,Prospectos BP Alto,2026-06-08,,no,ignorar,1382
76,Certificado CFC TEC en amarillo,2026-06-02,certificado,no,academica,185
75,BPs altos x Prospectos/Opp activa,2026-06-01,,no,ignorar,3487
74,Inscritos CFC TEC,2026-05-19,registro,no,academica,1618
73,Inscritos y Asistentes CFC TEC 13/05 v1,2026-05-15,asistencia,no,academica,363
70,Certificado Masterclass IA en Procurement,2026-05-05,certificado,no,academica,436
68,identified_contacts,2026-05-05,,no,ignorar,0
66,Inscritos Fit Procure Latam abril,2026-05-04,registro,no,academica,226
65,Masterclass_TEC_tally,2026-04-27,registro,no,academica,0
64,Masterclass_TEC_asistentes,2026-04-27,asistencia,no,academica,745
63,Asistentes_Masterclass_23/04_tally_noFit,2026-04-24,asistencia,no,academica,370
62,Diplomas_Masterclass_KPIs-v2,2026-04-08,certificado,no,academica,118
61,Prueba Certificados,2026-04-07,,no,ignorar,3
60,Diplomas_Masterclass_KPIs,2026-04-07,certificado,no,academica,381
59,Inscritos TEC 23/04 actualizado  6 abr,2026-04-06,registro,no,academica,1667
58,Inscritos - Eventos - Colombia,2026-02-16,asistencia,no,evento_pl,159
57,Inscritos - Eventos - Perú,2026-02-16,asistencia,no,evento_pl,387
56,Inscritos - Eventos - México,2026-02-16,asistencia,no,evento_pl,89
55,Inscritos - Eventos - Chile,2026-02-16,asistencia,no,evento_pl,232
54,Inscritos KPIs actualizado Febrero,2026-02-02,registro,no,academica,1575
52,Inscritos Tally KPIs actualizado 02/02,2026-02-02,registro,no,academica,399
50,Inscritos De la teoría a la práctica - Actualizado 11/12,2025-12-11,registro,no,academica,395
49,Lanzamiento_Indice_Mercado_totales,2025-11-17,,no,ignorar,616
44,Masterclass_IA_Inscritos_Totales,2025-11-03,registro,no,academica,2000
43,Prospectos Fit - Chile,2025-10-24,,no,ignorar,1048
42,Prospectos Fit - México,2025-10-24,,no,ignorar,4135
41,Prospectos Fit - Perú,2025-10-24,,no,ignorar,1761
40,MKT_Masterclass_IA_20/10_no_abiertos,2025-10-22,,no,ignorar,2656
39,MKT_Masterclass_IA_13/10_no_abiertos,2025-10-16,,no,ignorar,2671
38,Masterclass_IA_Inscritos_Actualizada_24/10,2025-10-13,registro,no,academica,1297
37,MKT_Masterclass_IA_no_abiertos_v1,2025-10-07,,no,ignorar,2806
36,Masterclass_Negociar_con_impacto_Tally,2025-10-06,registro,no,academica,348
35,Masterclass Clientes,2025-09-15,,no,ignorar,216
34,Masterclass Inscritos,2025-09-11,registro,no,academica,1221
33,Masterclass Asistentes,2025-09-11,asistencia,no,academica,343
32,Registrados Masterclass | Email corporativo,2025-09-09,registro,no,academica,393
31,PreSales - Prospectos Fit 2 con apertura,2025-09-03,,no,ignorar,640
30,PreSales - Prospectos Fit 1 con apertura,2025-09-03,,no,ignorar,3536
29,Registrados Webinar IA - Wherex,2025-08-27,registro,no,evento_wherex,953
28,Registrados - Eventos Online,2025-08-18,asistencia,no,evento_pl,1205
27,Influencers - Procurement,2025-07-15,,no,ignorar,5
26,Contacts involved in conversations,2025-06-24,,no,ignorar,1
23,Suscritos - Wherex Peru,2025-06-21,,no,ignorar,435
22,Suscritos - Wherex Mexico,2025-06-21,,no,ignorar,157
21,Suscritos - Wherex Colombia,2025-06-21,,no,ignorar,115
20,Suscritos - Wherex Chile,2025-06-21,,no,ignorar,825
19,Suscripciones - Procure LATAM,2025-06-21,,no,ignorar,349
18,Stakeholders,2025-06-21,,no,ignorar,25
16,Nurturing - Peru,2025-06-21,,no,ignorar,948
15,Nurturing - Mexico,2025-06-21,,no,ignorar,166
14,Nurturing - Colombia,2025-06-21,,no,ignorar,178
13,Nurturing - Chile,2025-06-21,,no,ignorar,290
11,Economic Buyers & Decision Makers,2025-06-21,,no,ignorar,404
9,Consolidado - Compradores - Peru,2025-06-21,,no,ignorar,590
8,Consolidado - Compradores - Mexico,2025-06-21,,no,ignorar,635
7,Consolidado - Compradores - Colombia,2025-06-21,,no,ignorar,175
6,Consolidado - Compradores - Chile,2025-06-21,,no,ignorar,2394
5,Champions,2025-06-21,,no,ignorar,83
3,Advisors,2025-06-21,,no,ignorar,15
